"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get system configs and store ids + values + value counts","0","GetSystemConfigsV2 - Valid access token","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","GetSystemConfigsV2"
"Validates GET /v1/inventory/car with dynamic parameters - Negative Test","266","GetCarListNegative - Pass field value inside relations","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.InventoryService.DynamicResponseNegative","Autochek_API_Automation","autochek_api_negative.InventoryService.DynamicResponseNegative","GetCarListNegative"
"Update Car and Validate Response","387","PutUpdateCar - city as null","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","Autochek_API_Automation","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","PutUpdateCar"
"","298","UpdateFranchise - email with sql injection attempt","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","UpdateFranchise"
"Submit Loan Customer Preferences","245","SubmitLoanPreferencesNegative - tyreQuantity negative","API_Regression_Suite","2026-03-17","failed","2026-03-17","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"Validates GET /v1/inventory/inspection_request with dynamic parameters - Negative Test","495","GetInspectionRequestNegative - Pass SQL injection-like pattern","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.InventoryService.DynamicResponseNegative","Autochek_API_Automation","autochek_api_negative.InventoryService.DynamicResponseNegative","GetInspectionRequestNegative"
"","294","UpdateFranchise - address is null","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","UpdateFranchise"
"","570","CreateFranchise - account_name with html tag (xss)","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","CreateFranchise"
"","594","CreateFranchise - bank_name as array","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","CreateFranchise"
"","0","PostUserSignUpV2Negative - Country is null","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PostUserSignUpV2Negative"
"Submit Loan Customer Preferences","250","SubmitLoanPreferencesNegative - tyreBrand boolean instead of string","API_Regression_Suite","2026-03-17","failed","2026-03-17","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"Validates GET /v2/origination/offers with dynamic parameters - Positive Test","854","GetOffersList - country is KE","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_positive.OriginationService.ResponsePayloadReductionV2APIs","Autochek_API_Automation","autochek_api_positive.OriginationService.ResponsePayloadReductionV2APIs","GetOffersList"
"Validates GET /v1/inventory/inspection_request with dynamic parameters - Positive Test","300","GetInspectionRequest - Validate only id field is returned","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_positive.InventoryService.DynamicResponsePositive","Autochek_API_Automation","autochek_api_positive.InventoryService.DynamicResponsePositive","GetInspectionRequest"
"Validates GET /v1/inventory/car with dynamic parameters - Negative Test","1164","GetCarListNegative - Validate API handles when passing blank fields value","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.InventoryService.DynamicResponseNegative","Autochek_API_Automation","autochek_api_negative.InventoryService.DynamicResponseNegative","GetCarListNegative"
"","1","PostLogoutAllAdminNegative - userId with trailing space","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PostLogoutAllAdminNegative"
"Create Inspection for the carID generated in Car Creation","479","PostCreateInspection - Value with leading/trailing spaces","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","Autochek_API_Automation","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","PostCreateInspection"
"Submit Loan Customer Preferences","249","SubmitLoanPreferencesNegative - tyreQuantity special characters","API_Regression_Suite","2026-03-17","failed","2026-03-17","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"Submit Loan Customer Preferences","247","SubmitLoanPreferencesNegative - Tyre Brand unsupported value","API_Regression_Suite","2026-03-17","failed","2026-03-17","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"","602","CreateFranchise - account_bvn too long","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","CreateFranchise"
"","0","PostLookUpV2Negative - Identifier contains special characters in phone number","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PostLookUpV2Negative"
"Create Inspection for the carID generated in Car Creation","394","PostCreateInspection - SQL injection attempt in wheel_type","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","Autochek_API_Automation","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","PostCreateInspection"
"","0","PostEnableUserV2Negative - Send XSS payload as token","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PostEnableUserV2Negative"
"Update System Config dynamically for PASSWORD_POLICY or USER_SESSION","1","PatchSystemConfigV2 - REQUIRE_NUMBER null value","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PatchSystemConfigV2"
"","0","PostLoginV2Negative - Username email with spaces","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PostLoginV2Negative"
"Validates GET /v1/inventory/car with dynamic parameters - Negative Test","267","GetCarListNegative - Validate API fails when passing relation path with invalid nesting format","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.InventoryService.DynamicResponseNegative","Autochek_API_Automation","autochek_api_negative.InventoryService.DynamicResponseNegative","GetCarListNegative"
"Submit Loan Customer Preferences","251","SubmitLoanPreferencesNegative - interestRate extremely large value","API_Regression_Suite","2026-03-17","failed","2026-03-17","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
