"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Marketplace - Contact Seller Logged In User","0","0","Positive Flow","0"
"0","","0","Marketplace - Contact Seller Logged Out User ","1","0","Positive Flow","0"
"1","","0","Marketplace - Contact Seller Logged In User","0","0","Negative Flow","0"
"1","","0","Marketplace - Contact Seller Logged Out User ","0","0","Negative Flow","0"
