"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Car Loan Positive Flow","0","Country - NG","0","0","Account Manager - Salary Earner","0"
"1","Car Loan Positive Flow","0","Country - NG","0","0","Franchise Admin - Salary Earner","0"
