"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Vault","0","Banking Partners","0","1","Add Banking Partner","0"
"0","Vault","0","Banking Partners","0","1","Add Partner + Verify Email via Mailinator UI","0"
"1","Vault","0","Banking Partners","0","1","","0"
