"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that all seller contact actions redirect logged-out user to Login modal.","18673","contactSeller_PositiveFlow_LoggedOutUser","Regression_Suite","2026-03-25","broken","2026-03-25","Tests.MarketplaceContactSellerTest.ContactSellerTest","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.MarketplaceContactSellerTest.ContactSellerTest","contactSeller_PositiveFlow_LoggedOutUser"
"Verify logged-in user can view seller details and access all contact actions.","26180","contactSeller_Positive_LoggedInUser","Regression_Suite","2026-03-25","broken","2026-03-25","Tests.MarketplaceContactSellerTest.ContactSellerTest","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.MarketplaceContactSellerTest.ContactSellerTest","contactSeller_Positive_LoggedInUser"
"Verify seller details consistency across modal, dealer page, copy contact, WhatsApp chat and Google maps.","26176","contactSeller_Negative_LoggedInUser","Regression_Suite","2026-03-25","broken","2026-03-25","Tests.MarketplaceContactSellerTest.ContactSellerTest","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.MarketplaceContactSellerTest.ContactSellerTest","contactSeller_Negative_LoggedInUser"
"Verify seller details remain blurred when user navigates to login but does not authenticate.","25211","contactSeller_Negative_LoginNotCompleted","Regression_Suite","2026-03-25","broken","2026-03-25","Tests.MarketplaceContactSellerTest.ContactSellerTest","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.MarketplaceContactSellerTest.ContactSellerTest","contactSeller_Negative_LoginNotCompleted"
