"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Car Loan Positive Flow","1","Country - NG","0","0","Account Manager - Salary Earner","0"
"0","Car Loan Positive Flow","1","Country - NG","0","0","Franchise Admin - Salary Earner","0"
