"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that all seller contact actions redirect logged-out user to Login modal.","11936","contactSeller_PositiveFlow_LoggedOutUser","Regression_Suite","2026-03-18","broken","2026-03-18","Tests.MarketplaceContactSellerTest.ContactSellerTest","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.MarketplaceContactSellerTest.ContactSellerTest","contactSeller_PositiveFlow_LoggedOutUser"
"Verify seller details remain blurred when user navigates to login but does not authenticate.","25027","contactSeller_Negative_LoginNotCompleted","Regression_Suite","2026-03-18","broken","2026-03-18","Tests.MarketplaceContactSellerTest.ContactSellerTest","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.MarketplaceContactSellerTest.ContactSellerTest","contactSeller_Negative_LoginNotCompleted"
"Verify seller details consistency across modal, dealer page, copy contact, WhatsApp chat and Google maps.","32952","contactSeller_Negative_LoggedInUser","Regression_Suite","2026-03-18","broken","2026-03-18","Tests.MarketplaceContactSellerTest.ContactSellerTest","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.MarketplaceContactSellerTest.ContactSellerTest","contactSeller_Negative_LoggedInUser"
"Verify logged-in user can view seller details and access all contact actions.","26097","contactSeller_Positive_LoggedInUser","Regression_Suite","2026-03-18","broken","2026-03-18","Tests.MarketplaceContactSellerTest.ContactSellerTest","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.MarketplaceContactSellerTest.ContactSellerTest","contactSeller_Positive_LoggedInUser"
