"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify seller details remain blurred when user navigates to login but does not authenticate.","25300","contactSeller_Negative_LoginNotCompleted","Regression_Suite","2026-03-17","broken","2026-03-17","Tests.MarketplaceContactSellerTest.ContactSellerTest","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.MarketplaceContactSellerTest.ContactSellerTest","contactSeller_Negative_LoginNotCompleted"
"Verify that all seller contact actions redirect logged-out user to Login modal.","18872","contactSeller_PositiveFlow_LoggedOutUser","Regression_Suite","2026-03-17","broken","2026-03-17","Tests.MarketplaceContactSellerTest.ContactSellerTest","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.MarketplaceContactSellerTest.ContactSellerTest","contactSeller_PositiveFlow_LoggedOutUser"
"Verify seller details consistency across modal, dealer page, copy contact, WhatsApp chat and Google maps.","25273","contactSeller_Negative_LoggedInUser","Regression_Suite","2026-03-17","broken","2026-03-17","Tests.MarketplaceContactSellerTest.ContactSellerTest","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.MarketplaceContactSellerTest.ContactSellerTest","contactSeller_Negative_LoggedInUser"
"Verify logged-in user can view seller details and access all contact actions.","26675","contactSeller_Positive_LoggedInUser","Regression_Suite","2026-03-17","broken","2026-03-17","Tests.MarketplaceContactSellerTest.ContactSellerTest","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.MarketplaceContactSellerTest.ContactSellerTest","contactSeller_Positive_LoggedInUser"
